iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
DOM,North America,Dominican Republic,9/28/2020,111386,429,442.429,2095,2,6.857,10267.974,39.547,40.785,193.125,0.184,0.632,0,0,0,0,0,0,0,0,0,0,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.736
DZA,Africa,Algeria,9/28/2020,51067,153,177.286,1714,3,6,1164.556,3.489,4.043,39.087,0.068,0.137,0,0,0,0,0,0,0,0,0,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
ECU,South America,Ecuador,9/28/2020,134747,766,1189.714,11279,6,27,7637.394,43.417,67.432,639.288,0.34,1.53,0,0,0,0,0,0,0,0,0,0,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.752
EGY,Africa,Egypt,9/28/2020,102840,104,117.857,5883,14,16.143,1004.941,1.016,1.152,57.488,0.137,0.158,0,0,0,0,0,0,0,0,0,0,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.696
ERI,Africa,Eritrea,9/28/2020,375,0,1.571,0,0,0,105.74,0,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0,3546427,44.304,19.3,3.607,2.171,1510.459,0,311.11,6.05,0.2,11.4,0,0.7,66.32,0.44
ESH,Africa,Western Sahara,9/28/2020,766,0,0,1,0,0,1282.373,0,0,1.674,0,0,0,0,0,0,0,0,0,0,0,0,597330,0,28.4,0,1.38,0,0,0,0,0,0,0,0,70.26,0
EST,Europe,Estonia,9/28/2020,3200,35,39.429,64,0,0,2412.292,26.384,29.723,48.246,0,0,0,0,0,0,0,0,0,0,0,0,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,0,4.69,78.74,0.871
ETH,Africa,Ethiopia,9/28/2020,73332,632,644.571,1170,5,10.571,637.872,5.497,5.607,10.177,0.043,0.092,0,0,0,0,0,0,0,0,0,0,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463
FIN,Europe,Finland,9/28/2020,9682,105,100.286,343,0,0.571,1747.427,18.951,18.1,61.905,0,0.103,142,975893,176.131,0.026,6960,1.256,69.402,0.014,samples tested,32.41,5540718,18.136,42.8,21.228,13.264,40585.721,0,153.507,5.76,18.3,22.6,0,3.28,81.91,0.92
FJI,Oceania,Fiji,9/28/2020,32,0,0,2,0,0,35.697,0,0,2.231,0,0,0,0,0,0,0,0,0,0,0,0,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,0,2.3,67.44,0.741
