continent,location,population,population_density,total_cases,total_deaths,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,latitude,longitude
Africa,Seychelles,98340,208.354,143,0,26382.287,242.648,10.55,0.0,3.6,73.4,-4.679574,55.491977
Asia,Syria,17500657,0.0,4072,192,0.0,376.264,0.0,70.598,1.5,72.7,34.802075,38.996815000000005
North America,Turks and Caicos Islands,38718,37.312,682,5,0.0,0.0,0.0,0.0,0.0,80.22,21.694025,-71.797928
Africa,Chad,16425859,11.833,1178,84,1768.1529999999998,280.995,6.1,5.818,0.0,54.24,15.454166,18.732207
Africa,Togo,8278737,143.366,1743,46,1429.8129999999999,280.033,6.15,10.475,0.7,61.04,8.619543,0.824782
Asia,Thailand,69799978,135.132,3545,59,16277.671,109.861,7.04,90.67,2.1,77.15,15.870032,100.992541
Asia,Tajikistan,9537642,64.281,9646,75,2896.913,427.69800000000004,7.11,72.704,4.8,71.1,38.861034000000004,71.276093
North America,Trinidad and Tobago,1399491,266.88599999999997,4362,71,28763.071,228.467,10.97,89.443,3.0,73.51,10.691803,-61.222503
Africa,Tunisia,11818618,74.22800000000001,16114,214,10849.296999999999,318.991,8.52,78.687,2.3,76.7,33.886917,9.537499
Asia,Turkey,84339067,104.914,314433,7997,25129.341,171.285,12.13,0.0,2.81,77.69,38.963745,35.243322
Asia,Taiwan,23816775,0.0,510,7,0.0,103.95700000000001,0.0,0.0,0.0,80.46,23.69781,120.96051499999999
Africa,Tanzania,59734213,64.699,509,21,2683.304,217.28799999999998,5.75,47.953,0.7,65.46,-6.369028,34.888822
Africa,Uganda,45741000,213.75900000000001,7530,73,1697.707,213.333,2.5,21.221999999999998,0.5,63.37,1.373333,32.290275
Europe,Ukraine,43733759,77.39,198634,3959,7894.393,539.849,7.11,0.0,8.8,72.06,48.379433,31.16558
South America,Uruguay,3473727,19.750999999999998,2008,47,20551.409,160.708,6.93,0.0,2.8,77.91,-32.522779,-55.765834999999996
North America,United States,331002647,35.608000000000004,7115046,204756,54225.445999999996,151.089,10.79,0.0,2.77,78.86,37.09024,-95.712891
Asia,Uzbekistan,33469199,76.134,55593,460,6253.104,724.4169999999999,7.57,0.0,4.0,71.72,41.377491,64.585262
North America,Saint Vincent and the Grenadines,110947,281.78700000000003,64,0,10727.146,252.675,11.62,0.0,2.6,72.53,12.984305,-61.287228000000006
South America,Venezuela,28435943,36.253,72691,606,16745.022,204.85,6.47,0.0,0.8,72.06,6.42375,-66.58973
North America,British Virgin Islands,30237,207.97299999999998,71,1,0.0,0.0,13.67,0.0,0.0,79.07,18.420695000000002,-64.63996800000001
Asia,Vietnam,97338583,308.127,1074,35,6171.884,245.465,6.0,85.84700000000001,2.6,75.4,14.058323999999999,108.277199
Europe,Kosovo,1932774,168.155,15472,622,9795.834,0.0,0.0,0.0,0.0,0.0,42.602636,20.902977
Asia,Yemen,29825968,53.508,2034,588,1479.1470000000002,495.00300000000004,5.35,49.542,0.7,66.12,15.552726999999999,48.516388
Africa,South Africa,59308690,46.754,670766,16398,12294.876,200.38,5.52,43.993,2.32,64.13,-30.559482,22.937506
Africa,Zambia,18383956,22.995,14641,332,3689.2509999999997,234.49900000000002,3.94,13.937999999999999,2.0,63.89,-13.133897,27.849332
Africa,Zimbabwe,14862927,42.729,7812,227,1899.775,307.846,1.82,36.791,1.7,61.49,-19.015438,29.154857
