,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Longitude,Latitude
10,AUS,Oceania,Australia,9/28/2020,27040,24,20.285999999999998,872,2,3.286,1060.397,0.941,0.7959999999999999,34.196,0.078,0.129,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,25499881,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,83.44,0.9390000000000001,134.755,-24.7761086
11,AUT,Europe,Austria,9/28/2020,43466,526,701.2860000000001,787,0,3.0,4826.124,58.403,77.865,87.382,0.0,0.33299999999999996,0,0,0.0,0.0,0,0.0,0.0,0.0,0,37.04,9006400,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,0.0,7.37,81.54,0.9079999999999999,13.199959,47.2000338
12,AZE,Asia,Azerbaijan,9/28/2020,40023,128,119.286,586,1,1.571,3947.363,12.624,11.765,57.79600000000001,0.099,0.155,0,0,0.0,0.0,0,0.0,0.0,0.0,0,70.37,10139175,119.309,32.4,6.018,3.8710000000000004,15847.419,0.0,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.757,47.7872508,40.3936294
13,BDI,Africa,Burundi,9/28/2020,485,0,1.714,1,0,0.0,40.788000000000004,0.0,0.14400000000000002,0.084,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11890781,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,0.0,0.0,6.144,0.8,61.58,0.41700000000000004,29.8870575,-3.3634357
14,BEL,Europe,Belgium,9/28/2020,114085,0,1249.143,9980,2,3.714,9843.726,0.0,107.781,861.1160000000001,0.17300000000000001,0.32,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,0.0,5.64,81.63,0.9159999999999999,4.6667145,50.6402809
15,BEN,Africa,Benin,9/28/2020,2340,15,8.571,40,0,0.0,193.018,1.237,0.7070000000000001,3.299,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12123198,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.515,2.2584408,9.5293472
16,BES,North America,Bonaire Sint Eustatius and Saba,9/28/2020,85,0,7.0,1,0,0.0,3241.677,0.0,266.962,38.137,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,26221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79,0.0,-63.143238651638256,17.566000000000003
17,BFA,Africa,Burkina Faso,9/28/2020,2008,35,23.143,56,0,0.0,96.061,1.6740000000000002,1.107,2.679,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,20903278,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423,-1.6880314,12.0753083
18,BGD,Asia,Bangladesh,9/28/2020,359148,1275,1461.714,5161,32,31.714000000000002,2180.76,7.742000000000001,8.876,31.338,0.19399999999999998,0.193,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,164689383,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608,90.2932426,24.4768783
19,BGR,Europe,Bulgaria,9/28/2020,20055,58,170.28599999999997,796,7,5.0,2886.257,8.347000000000001,24.506999999999998,114.55799999999999,1.0070000000000001,0.72,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,0.0,7.454,75.05,0.813,25.4856617,42.6073975
